"id","armA","armB","responded","female","age","agegrp","edu","town","camp"
11326,0,1,0,0,42,"30-44","secondary","town","gov"
11327,1,0,1,1,30,"30-44","secondary","town","none"
11328,0,1,0,1,69,"60+","secondary","town","none"
11329,0,1,0,0,22,"18-29","secondary","rural","opp"
11330,1,0,0,0,63,"60+","secondary","town","none"
11331,1,0,1,1,38,"30-44","higher","city","gov"
11332,1,0,0,1,53,"45-59","secondary","rural","none"
11333,1,0,0,0,64,"60+","secondary","rural","none"
11334,0,1,0,0,29,"18-29","higher","rural","none"
11335,1,0,0,0,38,"30-44","higher","rural","gov"
11336,1,0,0,0,50,"45-59","secondary","city","opp"
11337,1,0,0,0,61,"60+","secondary","rural","none"
11338,1,0,0,1,48,"45-59","basic","city","gov"
11339,0,1,0,0,64,"60+","basic","rural","gov"
11340,1,0,0,0,60,"60+","higher","rural","none"
11341,1,0,0,1,70,"60+","secondary","rural","opp"
11342,0,1,0,0,45,"45-59","higher","rural","none"
11343,1,0,0,1,40,"30-44","secondary","town","none"
11344,0,1,0,0,27,"18-29","secondary","city","opp"
11345,1,0,0,1,48,"45-59","secondary","town","opp"
11346,1,0,0,1,79,"60+","secondary","town","opp"
11347,1,0,0,0,29,"18-29","higher","town","opp"
11348,0,1,0,1,68,"60+","higher","rural","opp"
11349,1,0,0,0,63,"60+","secondary","city","none"
11350,0,1,0,1,62,"60+","basic","rural","none"
11351,0,1,0,0,40,"30-44","higher","town","opp"
11352,1,0,0,0,55,"45-59","secondary","city","opp"
11353,1,0,0,1,65,"60+","higher","town","none"
11354,1,0,1,0,20,"18-29","secondary","rural","opp"
11355,1,0,0,0,37,"30-44","secondary","city","opp"
11356,0,1,0,1,83,"60+","secondary","rural","none"
11357,1,0,0,0,66,"60+","basic","rural","none"
11358,1,0,0,0,32,"30-44","higher","city","gov"
11359,1,0,0,0,47,"45-59","higher","rural","none"
11360,0,1,0,1,74,"60+","higher","city","none"
11361,0,1,0,0,68,"60+","secondary","town","opp"
11362,0,1,0,0,40,"30-44","higher","rural","gov"
11363,0,1,0,0,32,"30-44","secondary","rural","gov"
11364,1,0,0,1,50,"45-59","secondary","rural","opp"
11365,1,0,0,0,65,"60+","secondary","rural","opp"
11366,1,0,0,0,66,"60+","secondary","rural","opp"
11367,1,0,0,1,35,"30-44","secondary","town","opp"
11368,1,0,1,0,70,"60+","higher","rural","none"
11369,0,1,0,1,47,"45-59","basic","rural","none"
11370,0,1,0,0,49,"45-59","secondary","town","opp"
11371,1,0,0,0,43,"30-44","secondary","town","none"
11372,1,0,0,0,46,"45-59","secondary","town","none"
11373,0,1,0,0,64,"60+","basic","town","gov"
11374,0,1,0,0,71,"60+","secondary","town","opp"
11375,0,1,0,0,23,"18-29","secondary","rural","opp"
11376,0,1,1,1,56,"45-59","higher","city","none"
11377,0,1,0,1,56,"45-59","secondary","city","none"
11378,1,0,0,1,61,"60+","secondary","rural","opp"
11379,1,0,0,1,48,"45-59","secondary","rural","none"
11380,0,1,0,1,78,"60+","basic","city","gov"
11381,0,1,0,1,41,"30-44","higher","city","gov"
11382,0,1,0,0,23,"18-29","basic","city","none"
11383,0,1,0,0,57,"45-59","secondary","rural","gov"
11384,1,0,0,1,56,"45-59","higher","rural","gov"
11385,0,1,0,0,43,"30-44","secondary","town","opp"
11386,0,1,0,1,59,"45-59","secondary","rural","none"
11387,1,0,0,0,30,"30-44","secondary","town","none"
11388,1,0,0,0,73,"60+","higher","town","gov"
11389,1,0,0,0,31,"30-44","secondary","city","gov"
11390,0,1,0,0,64,"60+","secondary","city","gov"
11391,1,0,0,1,72,"60+","higher","city","gov"
11392,0,1,0,1,30,"30-44","secondary","city","none"
11393,0,1,0,1,48,"45-59","higher","rural","gov"
11394,0,1,0,1,67,"60+","secondary","town","none"
11395,0,1,0,1,74,"60+","basic","rural","none"
11396,1,0,0,1,34,"30-44","secondary","rural","opp"
11397,1,0,0,1,25,"18-29","higher","city","none"
11398,1,0,0,1,51,"45-59","basic","rural","none"
11399,0,1,0,0,26,"18-29","higher","rural","opp"
11400,1,0,0,1,79,"60+","basic","rural","gov"
11401,1,0,1,0,49,"45-59","secondary","rural","gov"
11402,1,0,0,1,51,"45-59","secondary","rural","none"
11403,0,1,0,0,57,"45-59","secondary","city","none"
11404,1,0,1,1,49,"45-59","secondary","rural","opp"
11405,1,0,1,0,36,"30-44","secondary","city","gov"
11406,1,0,0,0,61,"60+","secondary","city","none"
11407,0,1,0,0,55,"45-59","secondary","town","none"
11408,1,0,0,1,75,"60+","secondary","town","gov"
11409,0,1,0,0,41,"30-44","secondary","town","opp"
11410,1,0,0,1,27,"18-29","secondary","town","gov"
11411,1,0,0,0,70,"60+","basic","city","none"
11412,1,0,0,1,54,"45-59","secondary","rural","opp"
11413,1,0,1,1,28,"18-29","higher","rural","none"
11414,1,0,1,0,78,"60+","secondary","rural","gov"
11415,0,1,0,0,81,"60+","secondary","town","none"
11416,0,1,0,1,59,"45-59","secondary","town","opp"
11417,1,0,0,0,47,"45-59","secondary","town","gov"
11418,0,1,0,1,74,"60+","basic","town","opp"
11419,0,1,0,1,41,"30-44","higher","city","gov"
11420,0,1,0,1,73,"60+","basic","city","opp"
11421,0,1,0,0,59,"45-59","secondary","town","none"
11422,1,0,0,1,36,"30-44","secondary","rural","none"
11423,0,1,0,1,36,"30-44","secondary","town","none"
11424,1,0,0,0,68,"60+","higher","rural","none"
11425,1,0,1,1,47,"45-59","higher","rural","gov"
11426,0,1,0,0,20,"18-29","basic","city","none"
11427,0,1,0,0,48,"45-59","secondary","city","opp"
11428,1,0,0,1,37,"30-44","higher","town","opp"
11429,0,1,0,0,53,"45-59","secondary","town","gov"
11430,1,0,1,1,67,"60+","secondary","rural","gov"
11431,0,1,0,0,42,"30-44","higher","town","opp"
11432,1,0,1,1,43,"30-44","higher","town","none"
11433,1,0,0,1,73,"60+","basic","rural","none"
11434,0,1,0,0,29,"18-29","secondary","town","opp"
11435,1,0,0,1,40,"30-44","secondary","rural","none"
11436,1,0,0,1,55,"45-59","secondary","town","none"
11437,1,0,0,1,79,"60+","secondary","town","gov"
11438,1,0,0,0,30,"30-44","secondary","town","gov"
11439,0,1,0,0,51,"45-59","higher","rural","none"
11440,0,1,0,0,66,"60+","basic","rural","opp"
11441,1,0,0,0,51,"45-59","basic","town","gov"
11442,0,1,0,0,62,"60+","basic","rural","none"
11443,0,1,0,1,41,"30-44","secondary","town","gov"
11444,0,1,0,1,49,"45-59","higher","rural","opp"
11445,1,0,0,1,47,"45-59","higher","town","gov"
11446,0,1,0,1,67,"60+","higher","town","none"
11447,0,1,0,0,37,"30-44","secondary","rural","opp"
11448,0,1,0,1,72,"60+","secondary","rural","gov"
11449,0,1,0,1,64,"60+","secondary","town","none"
11450,1,0,1,0,26,"18-29","secondary","rural","gov"
11451,0,1,0,0,61,"60+","higher","town","opp"
11452,0,1,0,1,48,"45-59","higher","city","gov"
11453,0,1,0,1,23,"18-29","higher","rural","gov"
11454,1,0,1,1,52,"45-59","basic","town","none"
11455,1,0,0,1,52,"45-59","higher","town","gov"
11456,1,0,0,0,65,"60+","secondary","rural","opp"
11457,0,1,0,0,60,"60+","secondary","rural","opp"
11458,0,1,0,0,53,"45-59","secondary","town","opp"
11459,1,0,1,1,41,"30-44","secondary","city","gov"
11460,0,1,0,0,51,"45-59","secondary","town","opp"
11461,1,0,0,0,60,"60+","secondary","rural","none"
11462,0,1,0,1,78,"60+","basic","rural","gov"
11463,0,1,0,0,42,"30-44","secondary","town","none"
11464,1,0,0,1,45,"45-59","higher","city","gov"
11465,1,0,0,0,52,"45-59","basic","town","none"
11466,0,1,0,0,51,"45-59","secondary","city","gov"
11467,0,1,0,1,39,"30-44","higher","rural","none"
11468,0,1,0,1,39,"30-44","secondary","city","gov"
11469,1,0,0,1,36,"30-44","secondary","rural","gov"
11470,1,0,0,0,61,"60+","secondary","rural","opp"
11471,0,1,0,0,62,"60+","secondary","city","none"
11472,0,1,0,1,64,"60+","secondary","rural","none"
11473,1,0,0,1,72,"60+","higher","town","none"
11474,0,1,1,0,59,"45-59","higher","rural","opp"
11475,1,0,1,0,63,"60+","secondary","rural","gov"
11476,1,0,0,1,32,"30-44","secondary","rural","none"
11477,0,1,0,0,48,"45-59","secondary","rural","opp"
11478,0,1,1,0,66,"60+","secondary","rural","opp"
11479,1,0,0,0,63,"60+","secondary","rural","none"
11480,1,0,0,0,50,"45-59","higher","rural","gov"
11481,0,1,0,1,58,"45-59","secondary","town","none"
11482,1,0,0,1,54,"45-59","secondary","city","opp"
11483,1,0,0,0,56,"45-59","secondary","rural","gov"
11484,1,0,1,1,30,"30-44","secondary","town","opp"
11485,1,0,0,0,26,"18-29","secondary","rural","none"
11486,1,0,1,1,44,"30-44","secondary","city","none"
11487,0,1,0,0,34,"30-44","secondary","city","none"
11488,1,0,0,1,62,"60+","higher","rural","opp"
11489,1,0,0,0,58,"45-59","secondary","city","opp"
11490,0,1,0,0,69,"60+","secondary","city","none"
11491,0,1,0,0,72,"60+","higher","rural","none"
11492,1,0,0,1,34,"30-44","secondary","rural","opp"
11493,0,1,0,0,26,"18-29","higher","town","opp"
11494,1,0,0,1,44,"30-44","secondary","town","gov"
11495,1,0,0,1,35,"30-44","secondary","town","gov"
11496,1,0,0,0,69,"60+","secondary","rural","opp"
11497,1,0,1,1,41,"30-44","secondary","rural","gov"
11498,1,0,0,1,21,"18-29","secondary","city","gov"
11499,1,0,0,1,61,"60+","higher","city","none"
11500,1,0,0,1,33,"30-44","secondary","rural","none"
11501,0,1,0,1,50,"45-59","higher","city","none"
11502,1,0,0,0,35,"30-44","basic","rural","gov"
11503,1,0,0,1,53,"45-59","basic","town","none"
11504,0,1,1,1,39,"30-44","higher","rural","none"
11505,0,1,0,1,76,"60+","secondary","town","opp"
11506,1,0,0,0,44,"30-44","higher","rural","gov"
11507,0,1,0,1,79,"60+","higher","town","none"
11508,1,0,0,1,73,"60+","secondary","city","gov"
11509,0,1,0,1,44,"30-44","secondary","city","none"
11510,1,0,0,1,47,"45-59","secondary","town","none"
11511,1,0,0,1,45,"45-59","secondary","town","gov"
11512,0,1,0,0,68,"60+","secondary","city","gov"
11513,1,0,1,0,32,"30-44","basic","rural","opp"
11514,1,0,0,1,75,"60+","secondary","town","gov"
11515,0,1,0,0,73,"60+","basic","rural","opp"
11516,1,0,0,1,40,"30-44","higher","rural","opp"
11517,0,1,0,1,53,"45-59","secondary","rural","opp"
11518,1,0,0,0,45,"45-59","secondary","city","gov"
11519,0,1,0,1,41,"30-44","higher","city","opp"
11520,1,0,0,1,20,"18-29","secondary","rural","gov"
11521,1,0,0,0,47,"45-59","secondary","city","none"
11522,0,1,0,1,47,"45-59","basic","town","opp"
11523,0,1,0,0,38,"30-44","secondary","rural","none"
11524,0,1,0,1,55,"45-59","secondary","rural","none"
11525,0,1,0,1,41,"30-44","basic","town","gov"
11526,1,0,0,1,35,"30-44","higher","rural","gov"
11527,0,1,0,1,33,"30-44","higher","town","gov"
11528,1,0,1,0,31,"30-44","secondary","city","none"
11529,1,0,0,0,23,"18-29","secondary","rural","opp"
11530,0,1,0,0,32,"30-44","secondary","city","none"
11531,0,1,0,1,28,"18-29","higher","rural","gov"
11532,1,0,0,0,43,"30-44","higher","city","none"
11533,1,0,0,1,43,"30-44","higher","rural","gov"
11534,0,1,0,1,47,"45-59","secondary","city","none"
11535,1,0,1,0,63,"60+","secondary","town","opp"
11536,0,1,0,1,42,"30-44","secondary","town","opp"
11537,1,0,0,1,57,"45-59","basic","town","gov"
11538,0,1,0,0,31,"30-44","secondary","town","none"
11539,0,1,0,1,39,"30-44","secondary","city","opp"
11540,0,1,0,0,39,"30-44","secondary","city","gov"
11541,1,0,1,1,66,"60+","basic","rural","opp"
11542,0,1,0,0,51,"45-59","secondary","rural","opp"
11543,0,1,0,1,25,"18-29","secondary","town","opp"
11544,0,1,1,1,70,"60+","higher","rural","gov"
11545,1,0,0,0,46,"45-59","secondary","town","gov"
11546,1,0,0,1,66,"60+","secondary","city","gov"
11547,1,0,0,0,55,"45-59","higher","rural","none"
11548,0,1,0,1,63,"60+","secondary","city","opp"
11549,1,0,0,0,46,"45-59","higher","city","opp"
11550,1,0,1,0,37,"30-44","secondary","rural","none"
11551,1,0,1,1,47,"45-59","higher","rural","opp"
11552,1,0,1,1,52,"45-59","secondary","city","opp"
11553,0,1,0,1,71,"60+","secondary","town","none"
11554,1,0,1,0,71,"60+","higher","town","gov"
11555,1,0,0,1,27,"18-29","secondary","town","opp"
11556,1,0,0,0,38,"30-44","secondary","town","none"
11557,0,1,0,1,34,"30-44","secondary","rural","none"
11558,1,0,0,0,66,"60+","higher","town","gov"
11559,0,1,0,0,73,"60+","secondary","town","opp"
11560,0,1,0,1,74,"60+","higher","rural","none"
11561,0,1,0,0,45,"45-59","basic","rural","opp"
11562,1,0,0,1,44,"30-44","higher","rural","gov"
11563,0,1,0,1,72,"60+","higher","rural","gov"
11564,1,0,0,0,54,"45-59","basic","rural","opp"
11565,0,1,0,1,74,"60+","basic","town","gov"
11566,1,0,0,0,50,"45-59","higher","city","opp"
11567,0,1,0,1,31,"30-44","secondary","town","opp"
11568,1,0,1,0,44,"30-44","higher","rural","opp"
11569,1,0,0,1,36,"30-44","secondary","city","opp"
11570,1,0,1,0,40,"30-44","secondary","rural","opp"
11571,0,1,0,1,74,"60+","basic","rural","none"
11572,1,0,0,1,64,"60+","secondary","rural","opp"
11573,0,1,0,1,47,"45-59","secondary","town","none"
11574,0,1,0,0,45,"45-59","basic","rural","gov"
11575,0,1,0,1,37,"30-44","basic","rural","none"
11576,0,1,0,0,72,"60+","secondary","town","gov"
11577,0,1,0,1,52,"45-59","basic","town","gov"
11578,1,0,1,0,35,"30-44","secondary","rural","gov"
11579,1,0,0,0,57,"45-59","secondary","city","none"
11580,1,0,0,1,78,"60+","basic","rural","none"
11581,0,1,0,1,44,"30-44","secondary","rural","gov"
11582,1,0,1,1,50,"45-59","higher","rural","gov"
11583,0,1,0,0,71,"60+","secondary","city","opp"
11584,1,0,0,1,54,"45-59","secondary","city","none"
11585,1,0,0,1,45,"45-59","secondary","rural","gov"
11586,1,0,0,0,24,"18-29","higher","city","gov"
11587,1,0,0,0,61,"60+","higher","rural","none"
11588,1,0,0,1,49,"45-59","higher","city","gov"
11589,1,0,0,0,56,"45-59","secondary","city","gov"
11590,1,0,0,1,30,"30-44","secondary","rural","gov"
11591,0,1,0,0,47,"45-59","higher","rural","none"
11592,0,1,0,0,61,"60+","basic","rural","gov"
11593,0,1,0,0,55,"45-59","higher","city","gov"
11594,0,1,0,0,24,"18-29","higher","rural","gov"
11595,0,1,0,0,65,"60+","higher","town","none"
11596,0,1,0,0,72,"60+","basic","town","gov"
11597,1,0,0,1,52,"45-59","secondary","town","opp"
11598,0,1,0,1,80,"60+","basic","town","none"
11599,0,1,0,1,63,"60+","higher","city","none"
11600,0,1,0,0,66,"60+","secondary","town","gov"
11601,1,0,0,0,40,"30-44","secondary","town","gov"
11602,1,0,0,0,62,"60+","higher","town","gov"
11603,1,0,0,0,69,"60+","higher","rural","opp"
11604,0,1,0,1,51,"45-59","higher","rural","opp"
11605,1,0,0,1,32,"30-44","secondary","town","gov"
11606,1,0,1,0,54,"45-59","secondary","city","gov"
11607,1,0,0,1,39,"30-44","basic","city","gov"
11608,1,0,0,0,62,"60+","basic","city","none"
11609,1,0,0,1,31,"30-44","secondary","city","gov"
11610,1,0,0,1,36,"30-44","higher","rural","opp"
11611,0,1,0,0,55,"45-59","secondary","city","gov"
11612,0,1,0,0,64,"60+","basic","rural","gov"
11613,0,1,1,0,61,"60+","secondary","rural","gov"
11614,0,1,0,1,64,"60+","higher","rural","opp"
11615,0,1,0,0,41,"30-44","secondary","rural","opp"
11616,1,0,1,1,49,"45-59","secondary","town","opp"
11617,0,1,0,0,48,"45-59","secondary","city","gov"
11618,1,0,1,0,30,"30-44","secondary","city","none"
11619,1,0,1,1,39,"30-44","secondary","rural","gov"
11620,1,0,0,0,38,"30-44","higher","town","none"
11621,0,1,0,0,48,"45-59","secondary","city","gov"
11622,0,1,0,1,27,"18-29","secondary","town","gov"
11623,0,1,0,0,55,"45-59","higher","city","gov"
11624,0,1,0,0,42,"30-44","higher","town","opp"
11625,1,0,1,1,42,"30-44","higher","town","opp"
11626,0,1,0,1,48,"45-59","secondary","city","gov"
11627,0,1,0,0,33,"30-44","secondary","town","opp"
11628,0,1,0,1,47,"45-59","secondary","rural","gov"
11629,1,0,1,0,38,"30-44","secondary","rural","gov"
11630,1,0,0,0,34,"30-44","secondary","city","gov"
11631,0,1,0,1,40,"30-44","secondary","city","none"
11632,0,1,0,0,26,"18-29","higher","rural","none"
11633,0,1,0,0,81,"60+","secondary","rural","opp"
11634,1,0,0,1,32,"30-44","higher","rural","none"
11635,1,0,0,1,43,"30-44","secondary","rural","none"
11636,1,0,0,1,36,"30-44","secondary","city","gov"
11637,1,0,1,0,70,"60+","secondary","rural","opp"
11638,0,1,0,1,72,"60+","secondary","city","opp"
11639,1,0,1,1,25,"18-29","secondary","city","opp"
11640,1,0,0,0,63,"60+","secondary","town","opp"
11641,0,1,0,1,19,"18-29","higher","town","opp"
11642,1,0,0,1,47,"45-59","higher","city","gov"
11643,0,1,0,0,46,"45-59","secondary","rural","none"
11644,1,0,1,1,46,"45-59","secondary","city","opp"
11645,1,0,0,1,43,"30-44","higher","city","gov"
11646,0,1,0,0,56,"45-59","higher","town","none"
11647,1,0,0,1,49,"45-59","secondary","town","opp"
11648,0,1,0,0,63,"60+","higher","town","gov"
11649,1,0,0,0,64,"60+","secondary","town","gov"
11650,0,1,0,0,81,"60+","secondary","city","none"
11651,0,1,0,0,38,"30-44","higher","rural","gov"
11652,1,0,0,1,22,"18-29","secondary","town","opp"
11653,1,0,1,1,75,"60+","secondary","town","opp"
11654,1,0,1,1,38,"30-44","secondary","town","gov"
11655,1,0,0,0,59,"45-59","secondary","rural","opp"
11656,0,1,0,0,54,"45-59","higher","town","gov"
11657,1,0,0,1,67,"60+","secondary","city","opp"
11658,1,0,0,1,43,"30-44","higher","rural","gov"
11659,0,1,0,1,44,"30-44","higher","town","gov"
11660,1,0,0,0,57,"45-59","secondary","town","none"
11661,0,1,0,1,31,"30-44","secondary","rural","none"
11662,0,1,0,0,49,"45-59","secondary","town","opp"
11663,1,0,0,0,50,"45-59","secondary","town","opp"
11664,0,1,0,1,67,"60+","secondary","rural","opp"
11665,1,0,0,1,50,"45-59","higher","rural","none"
11666,1,0,0,1,63,"60+","higher","rural","opp"
11667,0,1,0,0,21,"18-29","secondary","rural","none"
11668,0,1,0,0,27,"18-29","secondary","town","gov"
11669,0,1,0,0,32,"30-44","higher","rural","opp"
11670,1,0,0,1,69,"60+","basic","rural","none"
11671,1,0,0,0,71,"60+","secondary","town","none"
11672,0,1,0,0,53,"45-59","secondary","town","none"
11673,1,0,1,1,54,"45-59","secondary","rural","opp"
11674,0,1,0,0,56,"45-59","secondary","town","opp"
11675,0,1,0,1,32,"30-44","secondary","rural","opp"
11676,0,1,0,1,62,"60+","higher","city","none"
11677,1,0,0,0,22,"18-29","secondary","town","none"
11678,0,1,0,1,57,"45-59","higher","rural","opp"
11679,1,0,1,1,34,"30-44","basic","town","gov"
11680,0,1,0,0,55,"45-59","higher","town","gov"
11681,0,1,0,0,60,"60+","higher","city","gov"
11682,0,1,0,1,43,"30-44","secondary","town","opp"
11683,1,0,0,0,63,"60+","higher","town","opp"
11684,0,1,0,1,39,"30-44","secondary","town","none"
11685,1,0,0,1,31,"30-44","secondary","rural","opp"
11686,0,1,0,1,62,"60+","secondary","city","gov"
11687,1,0,1,1,40,"30-44","secondary","town","none"
11688,1,0,0,1,56,"45-59","secondary","town","opp"
11689,1,0,0,1,63,"60+","higher","city","gov"
11690,0,1,0,0,37,"30-44","secondary","town","opp"
11691,1,0,0,1,65,"60+","secondary","rural","gov"
11692,1,0,1,0,76,"60+","secondary","rural","opp"
11693,1,0,0,0,36,"30-44","secondary","town","none"
11694,1,0,1,0,58,"45-59","secondary","town","gov"
11695,0,1,0,1,64,"60+","higher","city","opp"
11696,0,1,0,0,54,"45-59","secondary","town","gov"
11697,0,1,0,0,76,"60+","basic","city","gov"
11698,0,1,0,0,25,"18-29","higher","town","gov"
11699,0,1,0,0,49,"45-59","basic","rural","gov"
11700,0,1,0,0,77,"60+","secondary","rural","gov"
11701,1,0,1,1,58,"45-59","secondary","city","none"
11702,0,1,0,0,35,"30-44","secondary","rural","gov"
11703,1,0,0,1,78,"60+","secondary","town","none"
11704,1,0,0,1,53,"45-59","secondary","rural","opp"
11705,0,1,0,0,50,"45-59","higher","city","opp"
11706,1,0,0,1,80,"60+","secondary","rural","gov"
11707,0,1,0,1,43,"30-44","higher","rural","gov"
11708,0,1,0,0,35,"30-44","higher","town","gov"
11709,1,0,0,0,29,"18-29","higher","town","gov"
11710,0,1,0,0,38,"30-44","basic","rural","opp"
11711,0,1,0,1,77,"60+","secondary","town","opp"
11712,1,0,0,0,51,"45-59","secondary","city","none"
11713,1,0,1,1,49,"45-59","higher","rural","gov"
11714,1,0,0,0,60,"60+","higher","town","gov"
11715,1,0,0,1,38,"30-44","secondary","town","opp"
11716,1,0,0,0,75,"60+","basic","town","none"
11717,1,0,0,1,43,"30-44","higher","rural","gov"
11718,1,0,0,0,51,"45-59","secondary","city","none"
11719,0,1,0,0,60,"60+","secondary","rural","none"
11720,1,0,0,1,68,"60+","secondary","rural","gov"
11721,0,1,0,0,68,"60+","basic","town","gov"
11722,1,0,0,1,25,"18-29","secondary","town","gov"
11723,1,0,0,0,50,"45-59","higher","town","opp"
11724,1,0,0,1,40,"30-44","higher","rural","none"
11725,0,1,0,0,33,"30-44","secondary","town","none"
11726,0,1,0,1,74,"60+","higher","town","gov"
11727,1,0,0,1,80,"60+","secondary","rural","gov"
11728,1,0,1,0,71,"60+","secondary","city","gov"
11729,0,1,0,0,23,"18-29","secondary","rural","gov"
11730,0,1,0,0,62,"60+","basic","city","gov"
11731,1,0,1,0,54,"45-59","higher","city","opp"
11732,0,1,0,1,56,"45-59","secondary","rural","opp"
11733,0,1,0,1,62,"60+","basic","city","gov"
11734,1,0,0,1,28,"18-29","secondary","town","opp"
11735,1,0,0,0,78,"60+","basic","town","none"
11736,0,1,0,0,27,"18-29","higher","rural","gov"
11737,0,1,0,0,57,"45-59","higher","city","gov"
11738,0,1,0,0,58,"45-59","secondary","city","none"
11739,1,0,1,1,71,"60+","basic","town","gov"
11740,1,0,0,0,32,"30-44","secondary","rural","none"
11741,0,1,0,0,49,"45-59","secondary","rural","gov"
11742,0,1,0,0,76,"60+","secondary","rural","none"
11743,1,0,0,1,68,"60+","secondary","city","none"
11744,1,0,0,1,62,"60+","basic","city","none"
11745,1,0,0,0,46,"45-59","higher","rural","gov"
11746,0,1,0,1,50,"45-59","secondary","city","gov"
11747,0,1,0,1,35,"30-44","higher","town","none"
11748,1,0,0,1,35,"30-44","secondary","rural","gov"
11749,1,0,1,1,45,"45-59","secondary","city","gov"
11750,1,0,0,0,46,"45-59","higher","town","gov"
11751,1,0,0,1,65,"60+","basic","rural","none"
11752,0,1,0,1,43,"30-44","secondary","rural","none"
11753,0,1,0,0,75,"60+","basic","rural","opp"
11754,0,1,0,0,40,"30-44","secondary","town","gov"
11755,1,0,0,1,42,"30-44","secondary","city","gov"
11756,0,1,0,1,66,"60+","higher","city","none"
11757,1,0,0,1,28,"18-29","higher","town","gov"
11758,0,1,0,1,47,"45-59","higher","town","gov"
11759,1,0,0,0,32,"30-44","higher","rural","gov"
11760,0,1,0,0,39,"30-44","secondary","rural","opp"
11761,1,0,1,0,53,"45-59","higher","city","none"
11762,1,0,1,0,23,"18-29","higher","city","gov"
11763,0,1,0,1,64,"60+","basic","city","none"
11764,0,1,0,0,66,"60+","secondary","town","none"
11765,0,1,0,0,43,"30-44","secondary","town","gov"
11766,1,0,0,0,74,"60+","basic","rural","opp"
11767,0,1,0,1,39,"30-44","secondary","town","none"
11768,0,1,0,1,52,"45-59","basic","town","opp"
11769,0,1,0,1,43,"30-44","secondary","city","gov"
11770,1,0,1,0,42,"30-44","secondary","town","gov"
11771,0,1,0,1,35,"30-44","basic","rural","none"
11772,0,1,0,1,50,"45-59","higher","rural","none"
11773,1,0,0,0,35,"30-44","secondary","rural","gov"
11774,1,0,0,1,39,"30-44","secondary","city","none"
11775,1,0,0,0,47,"45-59","secondary","rural","gov"
11776,0,1,0,1,58,"45-59","secondary","rural","none"
11777,0,1,0,1,38,"30-44","higher","town","gov"
11778,1,0,0,0,60,"60+","secondary","town","gov"
11779,1,0,0,1,34,"30-44","secondary","rural","none"
11780,1,0,0,0,56,"45-59","secondary","town","none"
11781,0,1,0,0,51,"45-59","higher","city","opp"
11782,0,1,0,0,66,"60+","secondary","city","opp"
11783,0,1,0,1,59,"45-59","basic","town","none"
11784,0,1,0,1,59,"45-59","secondary","city","opp"
11785,1,0,0,1,48,"45-59","higher","town","gov"
11786,0,1,0,1,41,"30-44","secondary","town","gov"
11787,1,0,0,1,44,"30-44","basic","city","none"
11788,0,1,0,1,67,"60+","secondary","rural","none"
11789,0,1,0,0,75,"60+","secondary","town","gov"
11790,1,0,0,0,35,"30-44","higher","rural","none"
11791,0,1,0,1,77,"60+","basic","rural","opp"
11792,0,1,0,1,37,"30-44","secondary","rural","none"
11793,0,1,0,0,32,"30-44","secondary","town","gov"
11794,1,0,0,0,31,"30-44","secondary","town","opp"
11795,0,1,0,1,57,"45-59","secondary","rural","gov"
11796,1,0,0,0,25,"18-29","basic","town","gov"
11797,0,1,0,0,38,"30-44","secondary","town","opp"
11798,1,0,0,1,40,"30-44","secondary","rural","none"
11799,0,1,0,1,62,"60+","secondary","rural","opp"
11800,1,0,0,0,29,"18-29","basic","town","opp"
11801,0,1,0,0,35,"30-44","higher","town","none"
11802,0,1,0,0,53,"45-59","basic","rural","opp"
11803,1,0,0,0,55,"45-59","secondary","town","none"
11804,0,1,0,1,39,"30-44","secondary","town","gov"
11805,1,0,0,0,58,"45-59","secondary","town","gov"
11806,1,0,0,0,53,"45-59","secondary","town","none"
11807,0,1,0,1,25,"18-29","secondary","town","opp"
11808,0,1,1,0,66,"60+","secondary","rural","none"
11809,0,1,0,1,37,"30-44","higher","rural","none"
11810,0,1,0,0,60,"60+","secondary","city","none"
11811,0,1,0,1,42,"30-44","secondary","town","none"
11812,1,0,0,1,72,"60+","secondary","rural","none"
11813,1,0,0,0,75,"60+","higher","rural","gov"
11814,1,0,1,1,45,"45-59","basic","rural","opp"
11815,0,1,0,1,73,"60+","secondary","town","gov"
11816,1,0,0,0,35,"30-44","basic","rural","opp"
11817,1,0,0,0,44,"30-44","secondary","rural","none"
11818,0,1,0,0,47,"45-59","basic","town","none"
11819,1,0,0,0,74,"60+","secondary","city","none"
11820,0,1,1,0,57,"45-59","basic","town","opp"
11821,0,1,0,1,29,"18-29","secondary","city","none"
11822,0,1,0,0,42,"30-44","secondary","rural","opp"
11823,0,1,0,1,33,"30-44","higher","rural","none"
11824,0,1,0,0,70,"60+","higher","rural","opp"
11825,0,1,0,1,60,"60+","higher","town","none"
11826,0,1,0,0,36,"30-44","secondary","town","gov"
11827,0,1,1,0,43,"30-44","higher","rural","opp"
11828,0,1,0,1,25,"18-29","higher","rural","none"
11829,0,1,0,1,58,"45-59","higher","town","opp"
11830,1,0,0,0,54,"45-59","secondary","rural","none"
11831,1,0,1,1,56,"45-59","higher","town","none"
11832,0,1,0,1,57,"45-59","secondary","rural","opp"
11833,0,1,0,0,64,"60+","basic","rural","gov"
11834,1,0,0,1,64,"60+","secondary","city","none"
11835,0,1,0,1,58,"45-59","secondary","city","gov"
11836,0,1,0,1,55,"45-59","secondary","rural","opp"
